Key;Container;TeamA;TeamB;MatchType;Date;NGoalA;NGoalB;NFinalA;NFinalB;IsStarted
A-GER-SCO;A;GER;SCO;ROUND;14/06/2024 21.00;0;0;0;0;0
A-HUN-SWI;A;HUN;SWI;ROUND;15/06/2024 15.00;0;0;0;0;0
B-SPA-CRO;B;SPA;CRO;ROUND;15/06/2024 18.00;0;0;0;0;0
B-ITA-ALB;B;ITA;ALB;ROUND;15/06/2024 21.00;0;0;0;0;0
D-POL-NED;D;POL;NED;ROUND;16/06/2024 15.00;0;0;0;0;0
C-SLO-DEN;C;SLO;DEN;ROUND;16/06/2024 18.00;0;0;0;0;0
C-SER-ENG;C;SER;ENG;ROUND;16/06/2024 21.00;0;0;0;0;0
D-ROM-UKR;D;ROM;UKR;ROUND;17/06/2024 15.00;0;0;0;0;0
E-BEL-SLK;E;BEL;SLK;ROUND;17/06/2024 18.00;0;0;0;0;0
E-AUS-FRA;E;AUS;FRA;ROUND;17/06/2024 21.00;0;0;0;0;0
F-TUR-GEO;F;TUR;GEO;ROUND;18/06/2024 18.00;0;0;0;0;0
F-POR-CZH;F;POR;CZH;ROUND;18/06/2024 21.00;0;0;0;0;0
B-CRO-ALB;B;CRO;ALB;ROUND;19/06/2024 15.00;0;0;0;0;0
A-GER-HUN;A;GER;HUN;ROUND;19/06/2024 18.00;0;0;0;0;0
A-SCO-SWI;A;SCO;SWI;ROUND;19/06/2024 21.00;0;0;0;0;0
C-SLO-SER;C;SLO;SER;ROUND;20/06/2024 15.00;0;0;0;0;0
C-DEN-ENG;C;DEN;ENG;ROUND;20/06/2024 18.00;0;0;0;0;0
B-SPA-ITA;B;SPA;ITA;ROUND;20/06/2024 21.00;0;0;0;0;0
E-SLK-UKR;E;SLK;UKR;ROUND;21/06/2024 15.00;0;0;0;0;0
D-POL-AUS;D;POL;AUS;ROUND;21/06/2024 18.00;0;0;0;0;0
D-NED-FRA;D;NED;FRA;ROUND;21/06/2024 21.00;0;0;0;0;0
F-GEO-CZH;F;GEO;CZH;ROUND;22/06/2024 15.00;0;0;0;0;0
F-TUR-POR;F;TUR;POR;ROUND;22/06/2024 18.00;0;0;0;0;0
E-BEL-ROM;E;BEL;ROM;ROUND;22/06/2024 21.00;0;0;0;0;0
A-SWI-GER;A;SWI;GER;ROUND;23/06/2024 21.00;0;0;0;0;0
A-SCO-HUN;A;SCO;HUN;ROUND;23/06/2024 21.00;0;0;0;0;0
B-ALB-SPA;B;ALB;SPA;ROUND;24/06/2024 21.00;0;0;0;0;0
B-CRO-ITA;B;CRO;ITA;ROUND;24/06/2024 21.00;0;0;0;0;0
D-NED-AUS;D;NED;AUS;ROUND;25/06/2024 18.00;0;0;0;0;0
D-FRA-POL;D;FRA;POL;ROUND;25/06/2024 18.00;0;0;0;0;0
C-ENG-SLO;C;ENG;SLO;ROUND;25/06/2024 21.00;0;0;0;0;0
C-DEN-SER;C;DEN;SER;ROUND;25/06/2024 21.00;0;0;0;0;0
E-SLK-ROM;E;SLK;ROM;ROUND;26/06/2024 18.00;0;0;0;0;0
E-UKR-BEL;E;UKR;BEL;ROUND;26/06/2024 18.00;0;0;0;0;0
F-GEO-POR;F;GEO;POR;ROUND;26/06/2024 21.00;0;0;0;0;0
F-CZH-TUR;F;CZH;TUR;ROUND;26/06/2024 21.00;0;0;0;0;0
2A-2B-2A-2B;2A-2B;2A;2B;8TH;29/06/2024 18.00;0;0;0;0;0
1A-1C-1A-2C;1A-1C;1A;2C;8TH;29/06/2024 21.00;0;0;0;0;0
1C-3DEF-1C-3DEF;1C-3DEF;1C;3DEF;8TH;20/06/2024 18.00;0;0;0;0;0
1B-3ADEF-1B-3ADEF;1B-3ADEF;1B;3ADEF;8TH;20/06/2024 21.00;0;0;0;0;0
2D-2E-2D-2E;2D-2E;2D;2E;8TH;01/07/2024 18.00;0;0;0;0;0
1F-3ABC-1F-3ABC;1F-3ABC;1F;3ABC;8TH;01/07/2024 21.00;0;0;0;0;0
1E-2ABCD-1E-3ABCD;1E-2ABCD;1E;3ABCD;8TH;02/07/2024 18.00;0;0;0;0;0
1D-2F-1D-2F;1D-2F;1D;2F;8TH;02/07/2024 21.00;0;0;0;0;0
41-42-41-42;41-42;41;42;4TH;05/07/2024 21.00;0;0;0;0;0
39-37-39-37;39-37;39;37;4TH;05/07/2024 18.00;0;0;0;0;0
40-38-40-38;40-38;40;38;4TH;06/07/2024 18.00;0;0;0;0;0
43-44-43-44;43-44;43;44;4TH;06/07/2024 21.00;0;0;0;0;0
45-46-45-46;45-46;45;46;SEMI-FINALS;09/07/2024 21.00;0;0;0;0;0
47-48-47-48;47-48;47;48;SEMI-FINALS;10/07/2024 21.00;0;0;0;0;0
49-50-49-50;49-50;49;50;FINAL12;14/07/2024 21.00;0;0;0;0;0
